Source:,C:\Users\Ben\Documents\GitHub\LED_Driver_1x8_Mux\LED Driver 1x8 Mux.sch,,,,
Date:,10/6/2023 14:20,,,,
Tool:,Eeschema (5.1.6)-1,,,,
Generator:,D:\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py,,,,
Component Count:,20,,,,
Ref,Qnty,Value,Cmp name,Manufacturer,Part #
"C1, C2, C3, C4, ",4,2.2uF,C_Small,Taiyo Yuden,TWK212B7225MD-T
"J1, ",1,2 pin header,Conn_01x02_Female,Sullins Connector Solutions,NPTC021KFXC-RC
"J2, ",1,8P8C_Shielded_x4,8P8C_Shielded_x4,Amphenol ICC (Commercial Products),RJSSE-5380-04
"Q1, Q2, Q3, Q4, ",4,IRF9358TRPBF-2x_p-channel,IRF9358TRPBF-2x_p-channel,Infineon Technologies,IRF9358TRPBF
"U1, ",1,NCV7805BDTRKG,NCV7805BDTRKG,onsemi,NCV7805BDTRKG
"U2, ",1,SN74LV138AT_D_16,SN74LV138AT_D_16,Texas Instruments,SN74LV138ATD
"U3, U4, ",2,TC4468EOE,TC4468EOE,Microchip Technology,MIC4467YWM-TR
